module,loc,screens,risk,score
apps/petstore,18460,30,high,10
apps/opc,5212,1,high,9
components/purchaseorder,2366,0,high,8
components/creditcard,769,0,high,7
apps/admin,5497,4,medium,6
components/customer,2385,0,medium,5
components/catalog,2866,0,medium,5
components/processmanager,1322,0,medium,4
components/signon,1559,0,medium,4
components/supplierpo,1924,0,medium,4
apps/supplier,4097,7,medium,3
components/xmldocuments,2042,0,low,2
components/mailer,840,0,low,2
components/lineitem,820,0,low,2
components/contactinfo,1266,0,low,1
components/asyncsender,549,0,low,1
components/address,992,0,low,1
components/uidgen,756,0,low,1
components/servicelocator,758,0,low,1
